"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"2020F","TX","CLTCD"," .39"," .45"," .39"," .42"," .67"," .61"," .74"," .8"," .87"," 1.14"," 1.22"," 1.47"," 1.61"," 1.68"," 1.68"," 1.6"," 1.55"," 1.54"," 1.47"," 1.44"," 1.44"," 1.49"," 1.48"," 1.42"," 1.34"," 1.33"," 1.29"," 1.26"," 1.25"," 1.21"," 1.23"," 1.33"," 1.28"," 1.26"," 1.32"," 1.35"," 1.51"," 1.65"," 1.9"," 1.89"," 1.87"," 1.9"," 1.91"," 2"," 2.03"," 2"," 1.83"," 1.76"," 1.78"," 2.01"," 2.05"
"2020F","TX","CLTCV"," 11.9"," 10.7"," 19.6"," 53.3"," 89.3"," 120.2"," 168.4"," 229.7"," 365.7"," 668.3"," 892.5"," 1261.6"," 1495.5"," 1711.8"," 1807.3"," 1833.2"," 1798.6"," 1850.8"," 1852.3"," 1924.4"," 1918.3"," 1982.2"," 1960.7"," 2033.4"," 1868.5"," 1819.5"," 1919.6"," 1920.6"," 1859.6"," 1853.5"," 1902.4"," 1992.9"," 1978.2"," 2024.4"," 2147.3"," 2190.2"," 2424.1"," 2662.7"," 3058.9"," 2836.5"," 2936.9"," 3212.5"," 2865.1"," 3189.5"," 3213.9"," 2686.4"," 2416.3"," 2556.8"," 2117"," 1998.8"," 1792"
"2020F","TX","CLTXD"," .39"," .45"," .58"," .76"," 1.28"," 1.2"," 1.79"," 1.69"," 2.03"," 2.09"," 1.28"," 1.59"," 1.72"," 1.71"," 1.77"," 1.64"," 1.51"," 1.27"," 1.31"," 1.27"," 1.14"," 1.24"," 1.27"," 1.16"," 1.26"," 1.25"," 1.24"," 1.29"," 1.48"," 1.48"," 1.26"," 1.38"," 1.28"," 1.28"," 1.42"," 1.54"," 1.89"," 2.47"," 2.79"," 3.91"," 5.02"," 3.81"," 3.95"," 3.87"," 3.81"," 3.99"," 3.99"," 3.69"," 4.3"," 4.32"," 4.2"
"2020F","TX","CLTXV"," 11.9"," 10.7"," 14"," 45.2"," 77"," 93.3"," 112.9"," 94.4"," 124.3"," 174.8"," 80.9"," 145.6"," 143.4"," 112.4"," 162.8"," 139.1"," 109.9"," 79.4"," 70"," 79.3"," 70.2"," 78.5"," 77"," 82.2"," 104.6"," 79.8"," 91.3"," 96"," 93.7"," 92.6"," 92.6"," 104.8"," 92.9"," 96.3"," 101"," 108.6"," 133.9"," 100.1"," 109.6"," 68.2"," 70.8"," 75.3"," 79.6"," 84.6"," 105.5"," 82.1"," 55.1"," 46.1"," 46.3"," 42.7"," 25.8"
"2020F","TX","DFACD"," 1.05"," 1.15"," 1.15"," 1.4"," 2.33"," 2.49"," 2.67"," 2.97"," 3.07"," 4.79"," 7.09"," 8.33"," 7.86"," 6.82"," 6.8"," 6.5"," 5.84"," 6.6"," 6.44"," 6.97"," 8.2"," 7.84"," 7.99"," 7.94"," 7.88"," 7.84"," 8.63"," 8.22"," 7.18"," 7.65"," 10.14"," 9.54"," 9.17"," 10.29"," 12.44"," 16.91"," 18.93"," 20.32"," 27"," 17.24"," 20.89"," 26.87"," 27.6"," 27.33"," 26.37"," 18.36"," 15.53"," 17.72"," 21.11"," 20.1"," 16.5"
"2020F","TX","DFACV"," 137.5"," 162.5"," 205.1"," 292.8"," 520.1"," 542.6"," 599.3"," 751.2"," 834.9"," 1376.2"," 1993.2"," 2788.2"," 2613.1"," 2133.6"," 2003"," 2010.2"," 1665"," 1852"," 1789.8"," 2068.6"," 2261.9"," 2404.2"," 2615.2"," 2819.5"," 2895.3"," 2965.1"," 3526.3"," 3512.9"," 3303.4"," 3542.2"," 4889.1"," 5105.4"," 4888"," 5579.8"," 7349.2"," 10312"," 13009"," 14020.6"," 17530.5"," 10675.2"," 13941.6"," 19143.3"," 19426.7"," 20436.5"," 22322.5"," 15427.2"," 12861.9"," 15120.6"," 19671.7"," 19081.2"," 13628.9"
"2020F","TX","DFCCD"," .9"," .97"," .97"," 1.14"," 1.99"," 2.14"," 2.42"," 2.71"," 2.83"," 4.59"," 6.23"," 7.68"," 7.2"," 6.13"," 6.14"," 6.13"," 3.6"," 4.09"," 3.7"," 4.23"," 5.58"," 4.87"," 4.53"," 4.4"," 4.07"," 4.16"," 4.99"," 4.76"," 3.64"," 4.31"," 6.89"," 6.07"," 5.64"," 6.89"," 9.2"," 13.28"," 15.56"," 17.21"," 24.01"," 13.83"," 17.81"," 24.16"," 24.87"," 24.15"," 21.99"," 13.15"," 11.21"," 13.52"," 16.89"," 15.74"," 10.46"
"2020F","TX","DFCCV"," 4.4"," 5.2"," 7.9"," 10.3"," 18.9"," 20.8"," 28.6"," 54.7"," 63.8"," 119.5"," 103.1"," 167.4"," 204.6"," 319.5"," 253.5"," 242.2"," 84"," 122.1"," 76.4"," 67.9"," 72.4"," 63.1"," 61.7"," 50.1"," 52.5"," 64.7"," 77.8"," 66.8"," 65.1"," 72"," 227"," 128"," 76.1"," 108.5"," 96.2"," 209.9"," 218.5"," 243.1"," 316.8"," 267.4"," 256.6"," 641.2"," 597.9"," 476.5"," 408"," 219"," 210.5"," 200"," 193.6"," 217.2"," 107.1"
"2020F","TX","DFEID"," .63"," .67"," .94"," 1.22"," 1.88"," 2.03"," 2.41"," 2.52"," 2.51"," 4.95"," 3.83"," 4.33"," 4.96"," 5.18"," 5.97"," 5.57"," 3.03"," 3.87"," 3.43"," 4.2"," 5.78"," 4.91"," 4.11"," 3.85"," 3.78"," 3.74"," 4.73"," 4.54"," 3.67"," 3.96"," 6.53"," 6.8"," 4.53"," 6.67"," 7.17"," 10.45"," 12.53"," 16.35"," 21.01"," 12.88"," 16.9"," 22"," 23"," 22.44"," 19.31"," 13.12"," 10.66"," 12.39"," 15.89"," 14.41"," 10.73"
"2020F","TX","DFEIV"," .2"," .2"," .4"," .5"," 4.4"," .9"," 1.9"," 3.8"," 2.3"," 9"," 25.1"," 23"," 37.3"," 53.7"," 21.9"," 25.1"," 8.3"," 11.4"," 13.1"," 57.4"," 24.3"," 10"," 7.1"," 9.3"," 30.5"," 11.6"," 19.2"," 8.8"," 10.9"," 18.3"," 81.6"," 115.7"," 11.5"," 99.1"," 12.5"," 19.2"," 17.6"," 22.8"," 23.4"," 10.1"," 19.5"," 33.7"," 31.1"," 22.9"," 22.2"," 15.6"," 9.3"," 9.8"," 10.1"," 7.8"," 5.6"
